ID,Contributor,Idea Title,Domain,Status,Impact Area,Attachment
D1,Priya,Smart Filter Optimization,Water,Under Review,Efficiency,filter_idea_pitch.mp4
D2,Aman,Auto Triage for Complaints,MedTech,Approved,Compliance,complaint_ai_pitch.pptx
D3,Leena,Explainable AI for Decisions,Insurance,Draft,Governance,xai_explainer.pdf
D4,Shyam,Predictive Leak Detection,Utilities,Under Review,Cost Savings,leak_detection_demo.mp4
D5,Noor,AI Copilot for Insights,Enterprise,Approved,Productivity,ai_copilot_ux.wav
D6,Rakesh,Agent-based Scheduling,Logistics,Approved,Ops Efficiency,agent_sched_flow.pdf
D7,Tara,Adaptive Learning Bot,Education,In Pipeline,Personalization,learning_bot_video.mp4
D8,Mohit,Trend Watch Dashboard,Retail,Approved,Decision Making,trendwatch_prototype.ppt
D9,Kavya,Audio Issue Miner,UX,Draft,Experience,issue_audio_sample.wav
D10,Simran,Auto KPI Detector,Analytics,Approved,Reporting,auto_kpi_pdf.pdf
D11,Varun,Real-time Fraud Detection,Finance,Under Review,Risk Management,fraud_detection_prototype.mp4